uniprot,protein_names,gene_names,WT_p_value,WT_Effect_size,CKO_p_value,CKO_Effect_size,Genotype_p_value,Genotype_Effect_size,Gender_p_value,Genotype_Effect_size
P28571,Sodium- and chloride-dependent glycine transporter 1,Slc6a9,0.0965,0.1013,0.9249,0.005942,0.1791,0.1399,0.4937,-0.111
P28574,Protein max,Max,0.8346,-0.01273,0.2317,-0.07545,0.3859,-0.09031,0.7138,0.05948
P28650,Adenylosuccinate synthetase isozyme 1,Adssl1,0.4994,-0.04118,0.545,0.03817,0.5141,-0.06796,0.8725,0.02602
P28651,Carbonic anhydrase-related protein,Ca8,0.0976,0.101,0.3453,-0.05952,0.0001,1.037,0.7785,-0.04561
P28653,Biglycan,Bgn,0.183,-0.08119,0.0744,-0.1125,0.68,-0.04297,0.8811,-0.02425
P28654,Decorin,Dcn,0.0896,-0.1035,0.0175,-0.1499,0.0001,-1.045,0.2842,-0.1737
P28656,Nucleosome assembly protein 1-like 1,Nap1l1,0.5872,0.03311,0.2171,0.07786,0.2165,-0.1287,0.8102,0.03896
P28658,Ataxin-10,Atxn10,0.7986,-0.01556,0.9827,0.001367,0.1193,0.1623,0.7913,-0.04291
P28659,CUGBP Elav-like family member 1,Celf1,0.4801,0.04306,0.328,0.0617,0.7292,0.03606,0.3262,0.1592
P28660,Nck-associated protein 1,Nckap1,0.8491,-0.0116,0.7181,0.02277,0.5238,0.0664,0.8269,-0.03547
P28661,Septin-4,Sep-04,0.0001,-0.401,0.0279,-0.1387,0.0001,-0.8201,0.0001,0.6284
P28667,MARCKS-related protein,Marcksl1,0.4836,0.04271,0.6428,0.02925,0.8209,-0.02358,0.3391,0.155
P28700,Retinoic acid receptor RXR-alpha;Retinoic acid receptor RXR-gamma,Rxra;Rxrg,0.0148,0.1487,0.3607,-0.05765,0.6351,-0.04943,0.633,-0.07744
P28740,Kinesin-like protein KIF2A,Kif2a,0.3173,0.06097,0.4372,0.04901,0.2177,0.1284,0.8247,-0.03592
P28740,Kinesin-like protein KIF2A,Kif2a,0.287,0.06492,0.413,0.05163,0.1909,0.1362,0.7374,-0.05438
P28741,Kinesin-like protein KIF3A,Kif3a,0.9126,0.006695,0.7919,-0.01664,0.3739,0.09261,0.9214,-0.01601
P28798,Granulins;Acrogranin;Granulin-1;Granulin-2;Granulin-3;Granulin-4;Granulin-5;Granulin-6;Granulin-7,Grn,0.5942,-0.03248,0.2775,-0.0685,0.0001,-0.624,0.9,-0.02038
P28828,Receptor-type tyrosine-protein phosphatase mu,Ptprm,0.5467,-0.03675,0.4102,-0.05195,0.6516,-0.04703,0.5401,-0.09935
P28867,Protein kinase C delta type;Protein kinase C delta type regulatory subunit;Protein kinase C delta type catalytic subunit,Prkcd,0.9223,0.005944,0.8518,0.01178,0.5204,0.06695,0.8651,-0.02755
P29037,TATA-box-binding protein;TATA box-binding protein-like protein 2,Tbp;Tbpl2,0.551,-0.03635,0.5949,0.03354,0.7048,-0.03946,0.7427,0.05324
P29268,Connective tissue growth factor,Ctgf,0.1074,0.09816,0.5834,0.03459,0.0001,0.411,0.9778,0.00451
P29341,Polyadenylate-binding protein 1,Pabpc1,0.8273,-0.0133,0.9882,0.0009352,0.9126,-0.01143,0.677,0.06756
P29387,Guanine nucleotide-binding protein subunit beta-4,Gnb4,0.1593,-0.08582,0.6825,0.0258,0.3654,-0.09427,0.577,0.09046
P29391,Ferritin light chain 1;Ferritin light chain 2,Ftl1;Ftl2,0.0558,0.1166,0.0515,0.1228,0.8837,-0.01524,0.5237,-0.1034
P29416,Beta-hexosaminidase subunit alpha,Hexa,0.1035,-0.09927,0.1627,-0.08807,0.0001,-0.6339,0.7442,-0.05292
P29533,Vascular cell adhesion protein 1,Vcam1,0.4171,0.04948,0.5021,0.04234,0.1209,-0.1615,0.2274,-0.1957
P29533,Vascular cell adhesion protein 1,Vcam1,0.7946,0.01587,0.9608,0.003097,0.695,0.04084,0.2258,-0.1964
P29595,NEDD8,Nedd8,0.9513,0.003724,0.0866,-0.1081,0.4586,-0.0772,0.8286,-0.03511
P29758,"Ornithine aminotransferase, mitochondrial",Oat,0.7844,0.01668,0.9285,0.00566,0.0054,-0.2898,0.8113,0.03872
P30051,Transcriptional enhancer factor TEF-1;Transcriptional enhancer factor TEF-3,Tead1;Tead4,0.4279,-0.04834,0.5054,0.04201,0.0089,-0.2725,0.3823,0.1417
P30115,Glutathione S-transferase A3,Gsta3,0.676,-0.02548,0.0359,-0.1323,0.0001,-0.7847,0.4989,-0.1097
P30280,G1/S-specific cyclin-D2,Ccnd2,0.3286,-0.05957,0.3677,0.05682,0.0001,0.4011,0.35,0.1516
P30282,G1/S-specific cyclin-D3,Ccnd3,0.4247,-0.04868,0.5931,-0.0337,0.5387,0.06403,0.551,0.09669
P30285,Cyclin-dependent kinase 4,Cdk4,0.2941,-0.06397,0.897,0.008162,0.5219,0.0667,0.5606,0.09438
P30412,Peptidyl-prolyl cis-trans isomerase C,Ppic,0.6622,-0.02664,0.152,-0.09035,0.0001,-0.4669,0.9433,0.01154
P30415,NK-tumor recognition protein;Putative peptidyl-prolyl cis-trans isomerase,Nktr,0.0347,0.1287,0.176,0.08535,0.6133,-0.05264,0.9754,-0.005008
P30416,"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed",Fkbp4,0.3244,-0.06009,0.9812,0.00149,0.0001,-0.4358,0.2266,0.1961
P30558,Proteinase-activated receptor 1,F2r,0.3765,-0.05392,0.2465,-0.0731,0.0738,0.1862,0.3714,0.145
Q8R4S6,Aryl hydrocarbon receptor,Ahr,0.5154,-0.03966,0.1571,-0.08924,0.431,-0.08203,0.8138,0.0382
P30677,Guanine nucleotide-binding protein subunit alpha-14,Gna14,0.0001,0.4723,0.0009,-0.2101,0.0001,0.742,0.6651,-0.07019
P30681,High mobility group protein B2,Hmgb2,0.5512,-0.03634,0.0148,0.1538,0.0001,-0.5765,0.1048,0.2631
P30999,Catenin delta-1,Ctnnd1,0.5206,0.03917,0.9149,-0.006742,0.0001,0.397,0.7526,0.05112
P30999,Catenin delta-1,Ctnnd1,0.2056,-0.07718,0.4475,0.04791,0.0005,0.3634,0.4717,0.1167
P31001,Desmin,Des,0.7641,-0.0183,0.0207,0.1459,0.8064,0.02552,0.0004,0.5767
P31230,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2,Aimp1,0.9489,0.00391,0.6275,0.0306,0.7952,0.02703,0.7868,0.04387
P31266,Recombining binding protein suppressor of hairless,Rbpj,0.5681,-0.0348,0.2005,0.08074,0.1486,-0.1505,0.8111,-0.03875
P31324,cAMP-dependent protein kinase type II-beta regulatory subunit,Prkar2b,0.8568,0.011,0.7305,0.02172,0.0001,-0.4246,0.8986,-0.02066
P31428,Dipeptidase 1,Dpep1,0.8302,-0.01308,0.801,0.0159,0.011,-0.2649,0.0673,0.2967
P31650,Sodium- and chloride-dependent GABA transporter 3;Sodium- and chloride-dependent GABA transporter 2;Sodium- and chloride-dependent betaine transporter;Sodium-dependent noradrenaline transporter;Sodium-dependent dopamine transporter,Slc6a11;Slc6a13;Slc6a12;Slc6a2;Slc6a3,0.9114,-0.006782,0.1872,0.08319,0.0001,0.8741,0.3827,0.1416
P31750,RAC-alpha serine/threonine-protein kinase,Akt1,0.9991,-0.00006957,0.562,0.03657,0.1636,0.1451,0.888,0.02283
P31786,Acyl-CoA-binding protein,Dbi,0.6745,-0.02561,0.2587,-0.07124,0.1884,-0.137,0.6821,-0.06643
P31938,Dual specificity mitogen-activated protein kinase kinase 1,Map2k1,0.7337,-0.02074,0.7538,-0.01978,0.8105,0.02497,0.6971,0.06312
P32020,Non-specific lipid-transfer protein,Scp2,0.5808,-0.03367,0.5068,-0.04187,0.0001,-0.4405,0.5252,-0.103
P32067,Lupus La protein homolog,Ssb,0.61,-0.0311,0.5599,0.03677,0.1802,-0.1396,0.3674,0.1462
P32233,Developmentally-regulated GTP-binding protein 1,Drg1,0.8491,0.0116,0.4688,0.04569,0.1181,0.1628,0.5221,0.1038
P32261,Antithrombin-III,Serpinc1,0.9913,0.0006619,0.3713,0.05639,0.991,0.001179,0.4852,0.1132
P32507,Nectin-2,Pvrl2,0.7848,0.01665,0.1763,0.0853,0.2162,-0.1288,0.7103,0.06025
P32883,"GTPase KRas;GTPase KRas, N-terminally processed",Kras,0.7519,0.01928,0.4463,0.04804,0.5934,-0.05562,0.7761,-0.04612
P32921,"Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS",Wars,0.6482,0.02782,0.6485,0.02876,0.1347,0.1558,0.5938,-0.08649
P33173,Kinesin-like protein KIF1A,Kif1a,0.3427,0.05785,0.5157,0.04099,0.0024,0.3157,0.2949,-0.1699
P33174,Chromosome-associated kinesin KIF4,Kif4,0.8858,0.00876,0.3698,0.05657,0.0569,0.1984,0.5596,0.09462
P33215,Protein NEDD1,Nedd1,0.1404,0.08989,0.0001,-0.246,0.2608,0.1171,0.5315,0.1015
P33434,72 kDa type IV collagenase;PEX,Mmp2,0.1723,-0.08322,0.8694,0.01037,0.0001,0.6863,0.3918,0.1389
P33609,DNA polymerase alpha catalytic subunit,Pola1,0.0005,-0.2108,0.0004,0.2237,0.0787,0.1832,0.7176,0.05866
P33610,DNA primase large subunit,Prim2,0.8046,-0.01509,0.6311,0.03029,0.6011,0.05446,0.832,0.03441
P33611,DNA polymerase alpha subunit B,Pola2,0.6652,0.02638,0.1776,0.08503,0.8985,0.01328,0.4397,0.1253
P34022,Ran-specific GTPase-activating protein,Ranbp1,0.6037,0.03165,0.4608,0.04652,0.155,0.1481,0.8456,0.03158
P34152,Focal adhesion kinase 1,Ptk2,0.8569,-0.01099,0.58,-0.03491,0.3666,-0.09405,0.9384,-0.01253
P34884,Macrophage migration inhibitory factor,Mif,0.4308,-0.04804,0.9943,-0.0004488,0.0119,-0.262,0.5518,0.09649
P34914,Bifunctional epoxide hydrolase 2;Cytosolic epoxide hydrolase 2;Lipid-phosphate phosphatase,Ephx2,0.6105,-0.03106,0.7485,0.02022,0.5622,0.06036,0.4421,-0.1247
P35123,Ubiquitin carboxyl-terminal hydrolase 4,Usp4,0.3858,-0.05288,0.8931,-0.008478,0.5424,-0.06345,0.7805,0.04519
P35235,Tyrosine-protein phosphatase non-receptor type 11,Ptpn11,0.9604,-0.003024,0.9043,0.00758,0.9905,-0.001234,0.9411,-0.01199
P35276,Ras-related protein Rab-3D,Rab3d,0.5803,-0.03371,0.6376,0.02971,0.0201,-0.2421,0.411,0.1333
P35278,Ras-related protein Rab-5C,Rab5c,0.6389,0.02861,0.8568,0.01138,0.7131,-0.0383,0.539,-0.09963
P35279,Ras-related protein Rab-6A,Rab6a,0.9263,-0.005638,0.9679,0.002535,0.6382,0.04897,0.9686,0.006388
P35279,Ras-related protein Rab-6A,Rab6a,0.8392,0.01237,0.1862,-0.08339,0.4616,0.07669,0.4315,-0.1276
P35282,Ras-related protein Rab-21,Rab21,0.8279,0.01326,0.9704,0.002339,0.8381,-0.02129,0.9729,0.005504
P35283,Ras-related protein Rab-12,Rab12,0.5416,0.03722,0.2827,0.06776,0.6858,0.04213,0.7866,-0.04389
P35285,Ras-related protein Rab-22A,Rab22a,0.5631,-0.03526,0.4301,0.04977,0.1238,-0.1603,0.737,-0.05447
P35288,Ras-related protein Rab-23,Rab23,0.6379,0.0287,0.8751,0.009915,0.3525,-0.09684,0.5312,-0.1015
P35290,Ras-related protein Rab-24,Rab24,0.839,0.01239,0.8988,0.008025,0.1392,-0.154,0.923,0.01567
P35293,Ras-related protein Rab-18,Rab18,0.8796,0.009235,0.7177,-0.0228,0.5322,0.06506,0.832,-0.0344
P35385,Heat shock protein beta-7,Hspb7,0.6419,-0.02835,0.4798,-0.04457,0.0008,-0.3482,0.2383,-0.1913
P35441,Thrombospondin-1,Thbs1,0.5678,0.03484,0.0585,0.1193,0.0001,0.4067,0.5645,0.09343
P35456,Urokinase plasminogen activator surface receptor,Plaur,0.1222,0.09425,0.7655,0.01882,0.0901,0.1765,0.3525,-0.1508
P35486,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",Pdha1,0.4769,0.04337,0.8164,0.01465,0.0937,-0.1746,0.4979,-0.1099
P35505,Fumarylacetoacetase,Fah,0.5866,-0.03316,0.4576,-0.04685,0.0004,0.3701,0.7506,0.05155
P35550,rRNA 2-O-methyltransferase fibrillarin,Fbl,0.4786,-0.0432,0.9298,0.005558,0.1557,-0.1479,0.3004,0.168
P35564,Calnexin,Canx,0.9552,0.003424,0.5545,0.03728,0.486,0.07256,0.8432,-0.03207
P35569,Insulin receptor substrate 1,Irs1,0.9721,0.002129,0.9904,0.000755,0.1764,0.1408,0.905,0.01935
P35585,AP-1 complex subunit mu-1,Ap1m1,0.6884,-0.02446,0.9758,-0.001914,0.3958,-0.08845,0.9112,0.01809
P35601,Replication factor C subunit 1,Rfc1,0.3525,-0.05669,0.7872,0.01703,0.7965,0.02687,0.4405,0.1251
P35689,DNA repair protein complementing XP-G cells homolog,Ercc5,0.6635,0.02653,0.1001,0.1037,0.7993,0.02649,0.352,0.1509
P35700,Peroxiredoxin-1,Prdx1,0.6828,0.02491,0.8073,-0.01539,0.8738,-0.01654,0.9344,-0.01334
P35762,CD81 antigen,Cd81,0.899,-0.007735,0.2732,0.06912,0.6985,0.04034,0.7163,-0.05893
P35802,Neuronal membrane glycoprotein M6-a,Gpm6a,0.0004,-0.2165,0.1756,-0.08543,0.0001,-0.5472,0.0044,0.4624
P35821,Tyrosine-protein phosphatase non-receptor type 1,Ptpn1,0.7381,-0.02039,0.8117,0.01502,0.6549,0.04655,0.6125,0.08215
P35822,Receptor-type tyrosine-protein phosphatase kappa,Ptprk,0.3067,-0.06233,0.5494,-0.03776,0.6437,-0.04818,0.6568,0.07207
P35831,Tyrosine-protein phosphatase non-receptor type 12,Ptpn12,0.9743,0.001962,0.6333,0.03009,0.3477,0.09782,0.9588,0.00837
P35922,Fragile X mental retardation protein 1 homolog,Fmr1,0.6611,0.02673,0.2219,0.07704,0.4628,-0.07648,0.8478,-0.03112
P35922,Fragile X mental retardation protein 1 homolog,Fmr1,0.6134,0.03081,0.0858,0.1084,0.4977,-0.07064,0.8837,-0.02371
P35951,Low-density lipoprotein receptor,Ldlr,0.2782,-0.06612,0.9661,-0.00268,0.7794,0.02918,0.4483,0.123
P35979,60S ribosomal protein L12,Rpl12,0.8525,0.01133,0.5109,0.04147,0.6071,0.05357,0.8209,0.03672
P35980,60S ribosomal protein L18,Rpl18,0.959,0.003138,0.9781,-0.001731,0.0003,0.3724,0.682,0.06645
P36371,Antigen peptide transporter 2,Tap2,0.6992,0.02356,0.2038,-0.08016,0.904,-0.01257,0.3204,-0.1611
P36536,GTP-binding protein SAR1a,Sar1a,0.6523,0.02747,0.8416,-0.0126,0.8823,0.01542,0.9232,0.01563
P36552,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",Cpox,0.6522,0.02748,0.7288,-0.02187,0.0678,-0.1902,0.7741,-0.04655
P36916,Guanine nucleotide-binding protein-like 1,Gnl1,0.7422,0.02006,0.9012,0.007833,0.7867,0.02819,0.8757,-0.02536
P36993,Protein phosphatase 1B,Ppm1b,0.9989,0.00008704,0.5491,-0.03779,0.3451,-0.09834,0.8749,0.02554
P37040,NADPH--cytochrome P450 reductase,Por,0.8035,0.01517,0.3052,0.06467,0.9245,-0.009873,0.7643,-0.04863
P37172,Activin receptor type-1,Acvr1,0.0382,0.1264,0.0583,0.1195,0.4302,0.08217,0.3957,-0.1377
P37804,Transgelin,Tagln,0.5948,0.03243,0.5944,0.03359,0.2206,0.1276,0.6617,0.07096
P37889,Fibulin-2,Fbln2,0.0065,-0.1661,0.0686,-0.1149,0.0006,0.3567,0.5937,0.08651
P37913,DNA ligase 1,Lig1,0.0235,-0.1381,0.0968,0.1047,0.0249,0.2336,0.1317,0.2444
P38060,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",Hmgcl,0.9949,-0.0003919,0.9094,0.00718,0.4029,0.08712,0.8413,-0.03247
P38585,Tubulin--tyrosine ligase,Ttl,0.9873,-0.0009678,0.9094,0.007181,0.2664,-0.1158,0.9573,0.008688
P38647,"Stress-70 protein, mitochondrial",Hspa9,0.359,0.05593,0.2062,0.07973,0.7467,-0.03364,0.4638,-0.1188
P39053,Dynamin-1,Dnm1,0.0285,-0.1336,0.8719,0.01017,0.1925,-0.1358,0.4942,-0.1109
P39054,Dynamin-2,Dnm2,0.9759,0.001846,0.9351,-0.005132,0.4102,0.08577,0.68,-0.06688
P39098,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",Man1a2,0.885,0.008823,0.9001,0.007922,0.6008,-0.0545,0.9132,-0.01768
P39429,TNF receptor-associated factor 2,Traf2,0.8666,-0.01024,0.0696,-0.1144,0.1749,-0.1413,0.5849,-0.08858
P39447,Tight junction protein ZO-1,Tjp1,0.6535,-0.02737,0.7425,-0.02072,0.0867,0.1784,0.4846,0.1134
P39688,Tyrosine-protein kinase Fyn,Fyn,0.0301,0.1322,0.3651,0.05713,0.0666,0.1911,0.4016,-0.136
P39689,Cyclin-dependent kinase inhibitor 1,Cdkn1a,0.1952,-0.07898,0.4943,0.04311,0.0094,0.2703,0.288,0.1723
P39749,Flap endonuclease 1,Fen1,0.419,0.04928,0.0401,0.1295,0.0058,-0.2875,0.2734,0.1776
P39876,Metalloproteinase inhibitor 3,Timp3,0.086,0.1047,0.4569,0.04693,0.0001,0.7322,0.0237,-0.3668
P40124,Adenylyl cyclase-associated protein 1,Cap1,0.7584,0.01875,0.909,0.007208,0.7751,0.02976,0.8699,-0.02655
P40142,Transketolase,Tkt,0.6835,0.02486,0.886,0.009042,0.3215,0.1033,0.9966,-0.0006969
P40201,Chromodomain-helicase-DNA-binding protein 1,Chd1,0.3114,-0.06172,0.3584,0.05793,0.0934,0.1747,0.5658,0.09313
P40224,Stromal cell-derived factor 1,Cxcl12,0.0263,-0.1355,0.3262,-0.06192,0.0001,0.6303,0.7458,0.05258
P40237,CD82 antigen,Cd82,0.2985,-0.0634,0.5667,-0.03614,0.3265,-0.1022,0.6158,-0.08139
P40240,CD9 antigen,Cd9,0.5306,0.03823,0.6952,-0.02472,0.0148,0.2539,0.0875,-0.2771
P40336,Vacuolar protein sorting-associated protein 26A,Vps26a,0.3957,-0.05178,0.7682,0.01859,0.0259,-0.232,0.7914,-0.04289
P40338,Von Hippel-Lindau disease tumor suppressor,Vhl,0.7205,-0.02182,0.4692,-0.04566,0.3925,-0.08907,0.9821,-0.003645
P40630,"Transcription factor A, mitochondrial",Tfam,0.9834,-0.001269,0.6882,0.02531,0.331,-0.1013,0.7988,-0.04134
P40694,DNA-binding protein SMUBP-2,Ighmbp2,0.4477,-0.04629,0.3039,-0.06485,0.0836,-0.1802,0.6921,0.06423
P40936,Indolethylamine N-methyltransferase,Inmt,0.5353,-0.0378,0.2196,0.07743,0.0001,-0.5327,0.9466,0.01086
P41105,60S ribosomal protein L28,Rpl28,0.7786,0.01714,0.3157,-0.06328,0.0007,0.354,0.7128,0.05969
P41216,Long-chain-fatty-acid--CoA ligase 1,Acsl1,0.9024,0.007475,0.7865,0.01708,0.0026,0.314,0.734,-0.05511
P41230,Lysine-specific demethylase 5C,Kdm5c,0.0236,-0.138,0.4452,-0.04815,0.0759,-0.1849,0.9144,0.01744
P41234,ATP-binding cassette sub-family A member 2,Abca2,0.0013,-0.196,0.172,0.08615,0.0022,-0.3184,0.3346,-0.1565
P41241,Tyrosine-protein kinase CSK,Csk,0.4395,-0.04714,0.5582,-0.03693,0.9019,0.01284,0.7633,-0.04884
P41731,CD63 antigen,Cd63,0.2821,0.06558,0.5899,0.034,0.0707,-0.1883,0.6572,-0.07197
P41778,Pre-B-cell leukemia transcription factor 1;Pre-B-cell leukemia transcription factor 2,Pbx1;Pbx2,0.1906,-0.07981,0.8924,-0.008529,0.0001,-0.6827,0.5529,0.09623
P42125,"Enoyl-CoA delta isomerase 1, mitochondrial",Eci1,0.9619,0.00291,0.8544,-0.01157,0.0198,-0.2427,0.7496,-0.05175
P42128,Forkhead box protein K1,Foxk1,0.1958,-0.07888,0.7167,-0.02289,0.0083,-0.2751,0.6009,0.08484
P42208,Septin-2,Sep-02,0.6306,-0.02932,0.5066,-0.04189,0.2358,-0.1235,0.8619,-0.0282
P42225,Signal transducer and activator of transcription 1,Stat1,0.1702,-0.08363,0.0218,-0.1447,0.0011,-0.3397,0.9416,0.01189
P42227,Signal transducer and activator of transcription 3,Stat3,0.5749,-0.0342,0.9468,-0.004207,0.3787,-0.09168,0.8829,-0.02389
P42230,Signal transducer and activator of transcription 5A,Stat5a,0.7916,-0.01611,0.4652,-0.04606,0.3627,-0.0948,0.865,0.02756
P42232,Signal transducer and activator of transcription 5B,Stat5b,0.9131,-0.006651,0.4464,-0.04802,0.1812,-0.1393,0.8895,-0.02252
P42337,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Pik3ca,0.2206,-0.07469,0.8263,0.01384,0.014,-0.256,0.9404,-0.01213
P42567,Epidermal growth factor receptor substrate 15,Eps15,0.9984,-0.0001245,0.9785,0.0017,0.8906,-0.01433,0.9605,-0.008031
P42669,Transcriptional activator protein Pur-alpha,Pura,0.6676,-0.02619,0.4364,-0.04909,0.7115,0.03853,0.2546,-0.1848
P42859,Huntingtin,Htt,0.5355,-0.03778,0.741,-0.02085,0.3536,-0.09662,0.9584,0.008456
P42867,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,Dpagt1,0.0171,0.1454,0.8538,-0.01162,0.0002,0.3915,0.6335,-0.07732
P42932,T-complex protein 1 subunit theta,Cct8,0.6266,0.02967,0.2729,0.06916,0.4789,0.07375,0.5739,0.09118
P43024,"Cytochrome c oxidase subunit 6A1, mitochondrial",Cox6a1,0.9744,0.001953,0.8808,0.009456,0.1037,-0.1695,0.6154,-0.08148
P43135,COUP transcription factor 2;COUP transcription factor 1,Nr2f2;Nr2f1,0.6918,-0.02417,0.5333,0.0393,0.0001,-0.5874,0.9868,0.002693
P43247,DNA mismatch repair protein Msh2,Msh2,0.4808,-0.04298,0.6,0.03308,0.0186,-0.2451,0.3797,0.1425
P43274,Histone H1.4,Hist1h1e,0.0168,-0.1458,0.6602,-0.02773,0.0394,-0.2146,0.631,0.07789
P43275,Histone H1.1,Hist1h1a,0.011,-0.155,0.2985,0.06557,0.0001,-0.4595,0.369,0.1457
P43276,Histone H1.5,Hist1h1b,0.0198,-0.142,0.6891,0.02523,0.0001,-0.4829,0.2641,0.1811
P43277,Histone H1.3,Hist1h1d,0.2867,-0.06496,0.3001,-0.06536,0.0607,-0.1954,0.9286,0.01454
P43346,Deoxycytidine kinase,Dck,0.0009,-0.2018,0.8355,0.0131,0.074,0.1861,0.2255,0.1966
P43406,Integrin alpha-V;Integrin alpha-V heavy chain;Integrin alpha-V light chain,Itgav,0.9128,0.006679,0.7273,-0.022,0.9381,0.008091,0.5837,-0.08887
P43407,Syndecan-2,Sdc2,0.263,-0.06825,0.2334,0.07517,0.6691,0.04452,0.7233,0.05741
P43883,Perilipin-2,Plin2,0.236,0.07226,0.7255,-0.02214,0.0001,0.4667,0.853,0.03005
P45376,Aldose reductase,Akr1b1,0.7904,0.01621,0.4462,-0.04805,0.3196,-0.1037,0.3992,-0.1367
P45377,Aldose reductase-related protein 2,Akr1b8,0.6627,0.0266,0.9629,-0.002931,0.1242,-0.1602,0.6034,-0.08425
P45481,CREB-binding protein,Crebbp,0.904,0.00735,0.974,-0.002056,0.0038,-0.3013,0.7362,-0.05464
P45591,Cofilin-2,Cfl2,0.5998,0.03199,0.9864,-0.001079,0.3796,0.09152,0.9478,-0.01062
P45700,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",Man1a1,0.1827,-0.08125,0.3908,-0.05413,0.0022,-0.3183,0.6846,0.06586
P45878,Peptidyl-prolyl cis-trans isomerase FKBP2,Fkbp2,0.6728,-0.02575,0.8318,-0.0134,0.0001,-0.429,0.9171,-0.01689
P45952,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",Acadm,0.5032,-0.04082,0.8529,-0.0117,0.0036,-0.3033,0.9673,0.00664
P46061,Ran GTPase-activating protein 1,Rangap1,0.911,0.006817,0.5757,0.0353,0.6948,-0.04087,0.3815,0.1419
P46062,Signal-induced proliferation-associated protein 1,Sipa1,0.7048,-0.0231,0.5944,-0.03359,0.0062,-0.2851,0.9499,-0.01019
P46414,Cyclin-dependent kinase inhibitor 1B,Cdkn1b,0.7719,-0.01767,0.9677,0.002555,0.0001,-0.5237,0.3172,0.1622
P46460,Vesicle-fusing ATPase,Nsf,0.7023,0.02331,0.789,0.01688,0.0643,0.1927,0.8638,-0.02781
P46467,Vacuolar protein sorting-associated protein 4B,Vps4b,0.6966,-0.02377,0.6567,-0.02803,0.5123,-0.06825,0.9986,-0.0002867
P46471,26S protease regulatory subunit 7,Psmc2,0.6519,0.0275,0.904,0.007607,0.7635,-0.03134,0.8329,0.03421
P46638,Ras-related protein Rab-11B;Ras-related protein Rab-11A,Rab11b;Rab11a,0.7334,0.02077,0.82,-0.01436,0.1347,0.1558,0.7174,-0.05869
P46656,"Adrenodoxin, mitochondrial",Fdx1,0.954,-0.003519,0.3389,0.06032,0.3561,-0.09612,0.9561,-0.008935
P46662,Merlin,Nf2,0.5716,-0.0345,0.8544,-0.01158,0.95,0.006532,0.9378,-0.01265
P46664,Adenylosuccinate synthetase isozyme 2,Adss,0.7418,0.02009,0.2963,0.06587,0.1233,0.1605,0.9046,0.01944
P46718,Programmed cell death protein 2,Pdcd2,0.8046,-0.01508,0.2208,-0.07723,0.2498,0.1199,0.4825,0.1139
P46735,Unconventional myosin-Ib,Myo1b,0.5456,0.03685,0.6165,0.03158,0.0001,1.263,0.853,0.03006
P46737,Lys-63-specific deubiquitinase BRCC36,Brcc3,0.8859,-0.008747,0.7228,0.02237,0.9916,-0.001096,0.9448,-0.01123
P46935,E3 ubiquitin-protein ligase NEDD4,Nedd4,0.6846,-0.02476,0.3511,0.05882,0.0002,0.3892,0.8345,0.03388
P46938,Transcriptional coactivator YAP1,Yap1,0.4635,0.0447,0.8137,-0.01486,0.6624,0.04548,0.9576,0.008621
P46978,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,Stt3a,0.827,0.01333,0.7983,0.01612,0.3868,0.09014,0.968,0.006506
P47199,Quinone oxidoreductase,Cryz,0.6012,-0.03187,0.452,-0.04744,0.7036,0.03962,0.5395,0.09951
P47226,Testin,Tes,0.3651,0.05522,0.2623,0.07071,0.0001,0.6496,0.5972,0.08569
P47713,Cytosolic phospholipase A2;Phospholipase A2;Lysophospholipase,Pla2g4a,0.9682,-0.002432,0.8233,0.01408,0.6803,0.04292,0.7556,-0.05047
P47738,"Aldehyde dehydrogenase, mitochondrial",Aldh2,0.7841,0.01671,0.2864,0.06724,0.0012,-0.3384,0.4219,-0.1302
P47739,"Aldehyde dehydrogenase, dimeric NADP-preferring",Aldh3a1,0.9888,-0.0008536,0.4179,0.05109,0.0402,-0.2137,0.1219,-0.2508
P47740,Fatty aldehyde dehydrogenase,Aldh3a2,0.9905,0.0007229,0.9224,-0.006146,0.9591,-0.005337,0.3779,-0.143
P47753,F-actin-capping protein subunit alpha-1,Capza1,0.7078,-0.02286,0.8991,-0.008001,0.9808,-0.002504,0.9757,-0.00493
P47754,F-actin-capping protein subunit alpha-2,Capza2,0.7945,-0.01588,0.9287,0.005647,0.6998,0.04016,0.7824,-0.04479
P47757,F-actin-capping protein subunit beta,Capzb,0.2021,0.07777,0.5249,-0.04011,0.0073,-0.2796,0.5172,-0.105
